course_id,course_name,level,fees,currency,duration_years,semesters,intake,credits,description,image
DEG-BAC-IN-PHA,Bachelor of Pharmacy with Honours,Degree,213194,MYR,,,,,,
DEG-BAC-IN-PHA-1,Bachelor of Pharmaceutical Science (Honours),Degree,135738,MYR,,,,,,
DEG-BAC-IN-PHA-2,Bachelor of Pharmaceutical Science (Honours) Work- Based Learning,Degree,135738,MYR,,,,,,
DEG-BAC-IN-BIO,Bachelor of Biotechnology (Honours),Degree,135846,MYR,,,,,,
DEG-BAC-IN-FOO,Bachelor of Food Science (Honours),Degree,135846,MYR,,,,,,
DEG-BAC-IN-BIO-1,Bachelor of Biomedical Science (Honours),Degree,152618,MYR,,,,,,
DEG-BAC-IN-APP,Bachelor of Applied Health Sciences (Honours),Degree,52586,MYR,,,,,,
DEG-BAC-IN-MED,"Bachelor of Medicine, Bachelor of Surgery (MBBS)",Degree,456934,MYR,,,,,,
DEG-BAC-IN-LAW,Bachelor of Laws (Honours),Degree,146106,MYR,,,,,,
DEG-BAC-IN-POL,"Bachelor in Philosophy, Politics and Economics (Honours)",Degree,139302,MYR,,,,,,
BSC-BAC-IN-BUS,Bachelor in Business Administration (Marketing) (Honours),Degree,143946,MYR,,,,,,
BSC-BAC-OF-INT,Bachelor of International Business (Honours),Degree,124830,MYR,,,,,,
BSC-BAC-OF-BUS-2,Bachelor of Business Administration (Entrepreneurship & Venture Management) (Honours),Degree,124830,MYR,,,,,,
BSC-BAC-OF-ACC,Bachelor of Accounting (Honours),Degree,139042,MYR,,,,,,
BSC-BAC-OF-ACC,Bachelor of Accounting (Honours),Degree,135214,MYR,,,,,,
BSC-BAC-OF-FIN,Bachelor of Finance (Honours),Degree,139194,MYR,,,,,,
BSC-BAC-OF-FIN,Bachelor of Finance (Honours),Degree,139194,MYR,,,,,,
DEG-BAC-IN-ACT,Bachelor of Actuarial Studies (Honours) (3 Years),Degree,128610,MYR,,,,,,
DEG-BAC-IN-ACT-1,Bachelor of Actuarial Studies (Honours) (4 Years),Degree,141554,MYR,,,,,,
BSC-BAC-OF-MEC,Bachelor of Mechanical Engineering (Honours),Degree,183562,MYR,,,,,,
DEG-BAC-IN-CHE,Bachelor of Chemical Engineering with Honours,Degree,183562,MYR,,,,,,
BSC-BAC-OF-ELE,Bachelor of Electrical and Electronics Engineering (Honours),Degree,183562,MYR,,,,,,
DEG-BAC-IN-MEC-1,Bachelor of Mechatronics Engineering with Honours,Degree,183562,MYR,,,,,,
DEG-BAC-IN-DES,Bachelor of Design (Honours) in Creative Media,Degree,135846,MYR,,,,,,
DEG-BAC-IN-FAS,Bachelor of Fashion Design Technology (Honours),Degree,130684,MYR,,,,,,
DEG-BAC-IN-INT,Bachelor of Interactive Spatial Design (Honours),Degree,129798,MYR,,,,,,
DEG-BAC-IN-INT-1,Bachelor of Interactive Spatial Design (Honours) - Work Based Learning,Degree,129798,MYR,,,,,,
DEG-BAC-IN-INT-2,Bachelor of Interactive Spatial Design (Honours) - Technopreneurship,Degree,129798,MYR,,,,,,
BSC-BAC-IN-COM,Bachelor in Computer Science (Systems and Networking) (Honours),Degree,135738,MYR,,,,,,
BSC-BAC-IN-COM,Bachelor in Computer Science (Systems and Networking) (Honours),Degree,135738,MYR,,,,,,
BSC-BAC-IN-INF-2,Bachelor in Information Technology (Graphics and Multimedia) (Honours),Degree,135738,MYR,,,,,,
BSC-BAC-IN-SOF,Bachelor in Software Engineering (Honours),Degree,135738,MYR,,,,,,
BSC-BAC-IN-SOF,Bachelor in Software Engineering (Honours),Degree,135738,MYR,,,,,,
DEG-BAC-IN-ARC,Bachelor of Science (Honours) in Architecture,Degree,149346,MYR,,,,,,
MST-MST-IN-ARC,Master of Architecture,Master,75694,MYR,,,,,,
DEG-BAC-IN-QUA,Bachelor of Quantity Surveying (Honours),Degree,115218,MYR,,,,,,
DEG-BAC-IN-INT-3,Bachelor of Arts (Honours) Interior Architecture,Degree,144155,MYR,,,,,,
DEG-BAC-IN-SUS,Bachelor of Science (Honours) in Sustainable Digital Construction Management,Degree,118350,MYR,,,,,,
DEG-BAC-IN-SUS-1,Bachelor of Science (Honours) in Sustainable Digital Construction Management - Work Based Learning,Degree,118350,MYR,,,,,,
OTH-GEN-IN-INT,Intensive English (240 Hours/12 Weeks),Other,20729,MYR,,,,,,
DEG-BAC-IN-MAS,Bachelor of Mass Communication (Honours),Degree,133794,MYR,,,,,,
DEG-BAC-IN-MAS-1,Bachelor of Mass Communication (Honours) in Advertising and Brand Management,Degree,133794,MYR,,,,,,
DEG-BAC-IN-MAS-2,Bachelor of Mass Communication (Honours) (Digital Media Production),Degree,133794,MYR,,,,,,
DEG-BAC-IN-MAS-3,Bachelor of Mass Communication (Honours) in Public Relations and Event Management,Degree,133794,MYR,,,,,,
DEG-BAC-IN-MAS-4,Bachelor of Mass Communication (Honours) in Public Relations and Marketing,Degree,133794,MYR,,,,,,
DEG-BAC-IN-PER,Bachelor of Performing Arts (Honours),Degree,122886,MYR,,,,,,
DEG-BAC-IN-PSY,Bachelor of Psychology (Honours),Degree,124506,MYR,,,,,,
DEG-BAC-IN-SOC,Bachelor of Social Science (Honours) in International Relations,Degree,121806,MYR,,,,,,
DEG-BAC-IN-CUL,Bachelor of Culinary Management (Honours),Degree,133254,MYR,,,,,,
DEG-BAC-IN-PAT,Bachelor of Patisserie Arts (Honours),Degree,127962,MYR,,,,,,
DEG-BAC-IN-CUL-1,Bachelor of Science (Honours) in Culinology,Degree,140274,MYR,,,,,,
DEG-BAC-IN-CUL-2,Bachelor of Science (Honours) in Culinology - Entrepreneurship,Degree,140274,MYR,,,,,,
DEG-BAC-IN-INT-4,Bachelor of International Hospitality Management (Honours),Degree,133146,MYR,,,,,,
DEG-BAC-IN-INT-5,Bachelor of International Hospitality Management (Honours) (Work-Based Learning),Degree,133146,MYR,,,,,,
DEG-BAC-IN-INT-6,Bachelor of International Tourism Management (Honours),Degree,133146,MYR,,,,,,
DEG-BAC-IN-INT-7,Bachelor of International Events Management (Honours),Degree,133146,MYR,,,,,,
DEG-BAC-IN-INT-8,Bachelor of International Events Management (Honours) (Work-Based Learning),Degree,133146,MYR,,,,,,
DEG-BAC-IN-EDU,Bachelor of Education (Honours) [Primary Education],Degree,124398,MYR,,,,,,
DEG-BAC-IN-EDU-1,Bachelor of Education (Honours) [Early Childhood Education],Degree,124398,MYR,,,,,,
DEG-BAC-IN-EDU-2,Bachelor of Education (Honours) [Special Educational Needs],Degree,124398,MYR,,,,,,
DEG-BAC-IN-EDU-3,Bachelor of Education (Honours) [Teaching of English],Degree,124398,MYR,,,,,,
DIP-DIP-IN-CUL,Diploma in Culinary Arts,Diploma,79136,MYR,,,,,,
DIP-DIP-IN-HOT,Diploma in Hotel Management,Diploma,73806,MYR,,,,,,
ADIP-GEN-IN-PAT,Advanced Diploma in Patisserie & Gastronomic Cuisine,Advanced Diploma,49494,MYR,,,,,,
OTH-GEN-IN-AME,American Degree Transfer Program (Business),Other,84322,MYR,,,,,,
OTH-GEN-IN-AME-1,American Degree Transfer Program (Computer Science),Other,84322,MYR,,,,,,
OTH-GEN-IN-AME-2,American Degree Transfer Program (Engineering),Other,84306,MYR,,,,,,
OTH-GEN-IN-AME-3,American Degree Transfer Program (Liberal Arts),Other,75578,MYR,,,,,,
MST-MST-IN-VIR,Master of Science in Virtual Design and Construction,Master,59054,MYR,,,,,,
PHD-PHD-IN-ARC,Doctor of Philosophy in Architecture (Research),PhD,68944,MYR,,,,,,
PHD-PHD-IN-ARC-1,Doctor of Philosophy in Architecture (Research) (Prior Publication),PhD,49562,MYR,,,,,,
MST-MST-IN-GEN,Master of Science,Master,50694,MYR,,,,,,
PHD-PHD-IN-RES,Doctor of Philosophy in Science (Research),PhD,68944,MYR,,,,,,
PHD-PHD-IN-RES-1,Doctor of Philosophy in Science (Research) (Prior Publication),PhD,49562,MYR,,,,,,
MST-MST-IN-BUS,Master of Business Administration (MBA),Master,70014,MYR,,,,,,
MST-MST-IN-MAN,Master of Management,Master,70014,MYR,,,,,,
PHD-PHD-IN-BUS,Doctor of Philosophy in Business (Research),PhD,68944,MYR,,,,,,
PHD-PHD-IN-BUS-1,Doctor of Philosophy in Business (Research) (Prior Publication),PhD,49562,MYR,,,,,,
PHD-PHD-IN-BUS-2,Doctor of Business Administration (DBA),PhD,91614,MYR,,,,,,
MST-MST-IN-COM,Master of Communication,Master,59284,MYR,,,,,,
PHD-PHD-IN-MED,Doctor of Philosophy in Media and Communication Studies (Research),PhD,68944,MYR,,,,,,
PHD-PHD-IN-MED-1,Doctor of Philosophy in Media and Communication Studies (Research) (Prior Publication),PhD,49562,MYR,,,,,,
